Area,Feature,OUR_APP (main),Qoder_Expert_Bridge_Doctor_Complete,Decision (Kept / Improved / New / Merged),Justification / Notes,Owner/Module
API,GAD data export (CSV/JSON),Yes: `POST /api/design/gad/csv` + `/gad/json`,Unknown,Kept,"CAD import pipeline.",scripts/generate-gad-csv + server
API,Validation endpoints (JSON + HTML),Yes: `POST /api/design/validate` + `/validate/html`,Unknown,Kept,"Compliance/QA.",server/claude-validator
API,Reinforcement schedule JSON,Yes: `POST /api/design/reinforcement/schedule`,Unknown,Kept,"BOQ + reinforcement outputs.",server/reinforcement-drawings
API,Reinforcement detail SVG per element,Yes: `POST /api/design/reinforcement/drawing/:element`,Unknown,Kept,"Drawing outputs.",server/reinforcement-drawings
API,Reinforcement section SVG,Yes: `POST /api/design/reinforcement/section/:element`,Unknown,Kept,"Drawing outputs.",server/reinforcement-drawings
API,Detailed abutment design endpoints,Yes: `POST /api/design/detailed-abutment/:type`,Unknown,Kept,"Deep design outputs.",server/remote-app-adapter
API,Detailed estimation endpoint,Yes: `POST /api/design/detailed-estimation`,Unknown,Kept,"Deep costing outputs.",server/remote-app-adapter
API,Deck anchorage endpoint,Yes: `POST /api/design/deck-anchorage`,Unknown,Kept,"Submersible uplift model.",server/remote-app-adapter + server/deck-anchorage
Integration,External slabdraw ZIP proxy,Yes: `POST /api/design/slabdraw-zip` + `GET /slabdraw-health`,Unknown,Kept,"Service integration already built.",server/api-routes
Feature flags,Runtime feature flags endpoint,Yes: `GET /api/design/feature-flags`,Unknown,Kept,"Rollout mechanism already exists.",shared/feature-flags
Models,Model A/B selection path,Yes (request body `model` and UI switcher),Unknown,Kept,"Already present.",client + server
Testing,TypeScript check,Yes: `npm run check`,Unknown,Kept,"Base quality gate.",tsconfig
Testing,Unit tests (vitest),Yes: `npm test` (vitest),Unknown,Kept,"Base quality gate.",client/report-engine/lib/__tests__
Testing,Engine verification scripts,Yes: `verify:engine`, `verify:excel`, `smoke:11-designs`, `batch:11-comprehensive-pdf`,Unknown,Kept,"Strong regression posture already present.",scripts/
Data assets,Large attached asset library,Yes: `attached_assets/` populated,Yes: `attached_assets/` populated,Kept,"Shared reference data; ensure Git LFS policy is consistent.",attached_assets
App types,Desktop app,No,Declared (`apps/desktop-app`),New (deferred),"Cannot evaluate: desktop app source missing in this snapshot (folder empty).",Qoder apps
App types,Streamlit dashboard,No,Declared (`apps/streamlit-dashboard`),New (deferred),"Cannot evaluate: source missing in this snapshot (folder empty).",Qoder apps
Services,API server separate service,No (integrated Express server),Declared (`services/api-server`),New (deferred),"Could be future refactor; no code present to assess.",Qoder services
Services,Python drawing service,No (TS-based SVG/DXF + slabdraw integration),Declared (`services/drawing-service`),New (deferred),"Potentially valuable; but no code present.",Qoder services
Services,Database service + migrations,Partial (Drizzle config exists; DB push script exists),Declared (`services/database`),Improved (later),"May adopt DB patterns if Qoder code becomes available.",drizzle + server
Packages,Calculation engine package,Already integrated as `bridge-excel-generator/` and `client/report-engine/`,Declared (`packages/calculation-engine`),Improved (later),"Cannot compare without code; current engine already extensive.",bridge-excel-generator
Packages,Drawing engine package,Yes (`Drawing_Module/` + server SVG/DXF),Declared (`packages/drawing-engine`),Improved (later),"Cannot compare without code; current drawing stack works.",Drawing_Module + server
Packages,BOQ engine package,Yes (estimation endpoint + sheets),Declared (`packages/boq-engine`),Improved (later),"Potentially useful if Qoder BOQ logic exists.",server/remote-app-adapter + bridge-excel-generator
Packages,Export service package,Yes (Excel/PDF/HTML exports),Declared (`packages/export-service`),Improved (later),"Potentially useful if code exists.",bridge-excel-generator + server
Conclusion,Can we do a true line-by-line hybrid merge now?,Yes for OUR_APP scope,No (Qoder code missing),Blocked,"This workspace contains the Qoder repo skeleton + assets but not its application source, so 'absorb superior implementations line-by-line' is not currently possible.",n/a
